"BehaviorSpace results (NetLogo 6.2.2)"
"Segregation.nlogo"
"experiment"
"04/24/2025 22:31:15:177 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-unhappy"
"24","50","40","6","2.0316027088036117"
"23","50","40","8","0.5409582689335394"
"20","50","40","10","0.07861635220125787"
"21","50","40","9","0.15479876160990713"
"19","50","40","10","0.0774593338497289"
"22","50","40","8","0.5430566330488751"
"18","50","40","11","0.14958863126402394"
"17","50","40","14","0.07535795026375283"
"23","50","40","9","0.46367851622874806"
"24","50","40","7","1.2791572610985704"
"20","50","40","11","0.15723270440251574"
"21","50","40","10","0.07739938080495357"
"22","50","40","9","0.07757951900698215"
"19","50","40","11","0.0774593338497289"
"18","50","40","12","0.14958863126402394"
"23","50","40","10","0.38639876352395675"
"24","50","40","8","0.8276899924755455"
"17","50","40","15","0"
"20","50","40","12","0"
"21","50","40","11","0"
"19","50","40","12","0"
"22","50","40","10","0.1551590380139643"
"24","50","40","9","0.7524454477050414"
"23","50","40","11","0.07727975270479134"
"18","50","40","13","0.07479431563201197"
"25","50","40","0","31.595092024539877"
"26","50","40","0","30.38073038073038"
"27","50","40","0","30.690737833594977"
"23","50","40","12","0"
"22","50","40","11","0.23273855702094648"
"28","50","40","0","32.08430913348946"
"24","50","40","10","0.3009781790820165"
"18","50","40","14","0"
"22","50","40","12","0.07757951900698215"
"25","50","40","1","15.567484662576685"
"27","50","40","1","15.463108320251179"
"26","50","40","1","19.19191919191919"
"25","50","40","2","9.662576687116564"
"28","50","40","1","17.017954722872755"
"24","50","40","11","0.3009781790820165"
"29","50","40","0","33.03437967115097"
"30","50","40","0","33.12597200622084"
"22","50","40","13","0"
"27","50","40","2","11.616954474097332"
"24","50","40","12","0.15048908954100826"
"29","50","40","1","17.638266068759343"
"26","50","40","2","11.655011655011654"
"28","50","40","2","11.553473848555816"
"25","50","40","3","5.904907975460123"
"30","50","40","1","18.35147744945568"
"27","50","40","3","7.064364207221351"
"28","50","40","3","6.401249024199844"
"24","50","40","13","0.07524454477050413"
"31","50","45","0","41.58183241973375"
"26","50","40","3","7.614607614607614"
"29","50","40","2","10.911808669656203"
"28","50","40","4","4.137392661982826"
"25","50","40","4","3.4509202453987733"
"27","50","40","4","4.003139717425432"
"26","50","40","4","3.807303807303807"
"30","50","40","2","11.897356143079316"
"31","50","45","1","24.119028974158184"
"25","50","40","5","2.607361963190184"
"29","50","40","3","7.399103139013453"
"28","50","40","5","2.2638563622170182"
"27","50","40","5","2.8257456828885403"
"26","50","40","5","2.0202020202020203"
"30","50","40","3","8.009331259720062"
"24","50","40","14","0"
"28","50","40","6","1.1709601873536302"
"31","50","45","2","12.920908379013312"
"25","50","40","6","1.4570552147239262"
"26","50","40","6","1.1655011655011656"
"29","50","40","4","4.0358744394618835"
"27","50","40","6","2.197802197802198"
"32","50","45","0","40.607950116913486"
"30","50","40","4","4.89891135303266"
"31","50","45","3","8.45732184808144"
"28","50","40","7","0.858704137392662"
"25","50","40","7","0.9202453987730062"
"27","50","40","7","1.2558869701726845"
"26","50","40","7","0.5439005439005439"
"32","50","45","1","24.0062353858145"
"29","50","40","5","2.167414050822123"
"30","50","40","5","3.032659409020218"
"27","50","40","8","0.7064364207221351"
"31","50","45","4","5.324980422866092"
"26","50","40","8","0.3108003108003108"
"25","50","40","8","0.6901840490797546"
"28","50","40","8","0.39032006245121"
"30","50","40","6","1.8662519440124419"
"32","50","45","2","13.406079501169135"
"29","50","40","6","1.195814648729447"
"26","50","40","9","0.3108003108003108"
"30","50","40","7","1.166407465007776"
"25","50","40","9","0.23006134969325154"
"27","50","40","9","0.3139717425431711"
"31","50","45","5","3.0540328895849647"
"29","50","40","7","0.672645739910314"
"28","50","40","9","0.234192037470726"
"27","50","40","10","0.07849293563579278"
"25","50","40","10","0.3067484662576687"
"30","50","40","8","0.46656298600311047"
"26","50","40","10","0.0777000777000777"
"32","50","45","3","8.495713172252534"
"31","50","45","6","2.2709475332811273"
"30","50","40","9","0"
"25","50","40","11","0.07668711656441718"
"28","50","40","10","0.156128024980484"
"26","50","40","11","0.1554001554001554"
"32","50","45","4","5.4559625876851126"
"29","50","40","8","0.523168908819133"
"31","50","45","7","1.4878621769772904"
"25","50","40","12","0"
"28","50","40","11","0.156128024980484"
"26","50","40","12","0.0777000777000777"
"27","50","40","11","0.07849293563579278"
"31","50","45","8","0.548159749412686"
"28","50","40","12","0.078064012490242"
"26","50","40","13","0.0777000777000777"
"32","50","45","5","4.1309431021044425"
"31","50","45","9","0.31323414252153486"
"29","50","40","9","0.07473841554559044"
"27","50","40","12","0"
"26","50","40","14","0"
"28","50","40","13","0.078064012490242"
"33","50","45","0","42.8680981595092"
"31","50","45","10","0.31323414252153486"
"28","50","40","14","0"
"29","50","40","10","0.07473841554559044"
"32","50","45","6","2.6500389711613406"
"34","50","45","0","40.94427244582043"
"31","50","45","11","0.15661707126076743"
"36","50","45","0","35.95330739299611"
"29","50","40","11","0"
"32","50","45","7","1.558846453624318"
"33","50","45","1","23.696319018404907"
"36","50","45","1","21.167315175097276"
"34","50","45","1","23.45201238390093"
"31","50","45","12","0"
"32","50","45","8","1.0132501948558068"
"33","50","45","2","14.340490797546012"
"35","50","45","0","38.08095952023988"
"38","50","45","0","41.95535026943803"
"37","50","45","0","38.58695652173913"
"32","50","45","9","0.7014809041309431"
"34","50","45","2","15.634674922600619"
"36","50","45","2","15.019455252918288"
